kind,image,class,reason,confidence,best_iou,exported_image
FN,1 (243).bmp,spot,未检测到（建议检查尺度、反光、对比度或漏标）,0.237334,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (243)__fn__spot__02.bmp
FN,1 (243).bmp,scratch,未检测到（建议检查尺度、反光、对比度或漏标）,0.237334,0.0721,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (243)__fn__scratch__04.bmp
FN,1 (243).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.237334,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (243)__fn__splash__05.bmp
FN,1 (243).bmp,splash,定位偏差或置信度不足（存在部分重叠预测）,0.369809,0.2984,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (243)__fn__splash__06.bmp
FN,1 (243).bmp,splash,定位偏差或置信度不足（存在部分重叠预测）,0.369809,0.4012,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (243)__fn__splash__07.bmp
FN,1 (243).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.237334,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (243)__fn__splash__09.bmp
FP,1 (243).bmp,spot,背景误检、反光/边缘干扰，或真实缺陷漏标,0.5685,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/spot/images/1 (243)__fp__spot__02.bmp
FP,1 (243).bmp,splash,定位偏差或重复预测,0.3698,0.4012,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (243)__fp__splash__04.bmp
FP,1 (243).bmp,chipping,定位偏差或重复预测,0.3006,0.7464,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (243)__fp__chipping__06.bmp
FP,1 (243).bmp,scratch,定位偏差或重复预测,0.2373,0.5177,runs_668_error_analysis/class_threshold_trial_01_errors/fp/scratch/images/1 (243)__fp__scratch__07.bmp
FN,1 (246).bmp,scratch,未检测到（建议检查尺度、反光、对比度或漏标）,,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (246)__fn__scratch__00.bmp
FN,1 (246).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (246)__fn__chipping__01.bmp
FN,1 (249).bmp,spot,类别混淆（同位置预测成其他类别）,0.346104,0.5244,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (249)__fn__spot__02.bmp
FN,1 (249).bmp,spot,未检测到（建议检查尺度、反光、对比度或漏标）,0.23123,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (249)__fn__spot__07.bmp
FN,1 (249).bmp,spot,未检测到（建议检查尺度、反光、对比度或漏标）,0.23123,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (249)__fn__spot__08.bmp
FP,1 (249).bmp,chipping,定位偏差或重复预测,0.3736,0.903,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (249)__fp__chipping__06.bmp
FP,1 (249).bmp,splash,类别混淆（预测类别错误）,0.3461,0.5244,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (249)__fp__splash__07.bmp
FP,1 (249).bmp,scratch,背景误检、反光/边缘干扰，或真实缺陷漏标,0.3142,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/scratch/images/1 (249)__fp__scratch__08.bmp
FN,1 (253).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.466227,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (253)__fn__chipping__02.bmp
FP,1 (253).bmp,chipping,定位偏差或重复预测,0.4662,0.8237,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (253)__fp__chipping__02.bmp
FN,1 (254).bmp,scratch,未检测到（建议检查尺度、反光、对比度或漏标）,0.302819,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (254)__fn__scratch__00.bmp
FP,1 (254).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.8145,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (254)__fp__chipping__00.bmp
FN,1 (255).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.729048,0.0006,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (255)__fn__chipping__03.bmp
FN,1 (255).bmp,scratch,定位偏差或置信度不足（存在部分重叠预测）,0.30726,0.4404,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (255)__fn__scratch__04.bmp
